# キャラクター・人型・空想の生き物（character）。実在の人物は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# ゲッコウガ	げっこうが	Greninja pokemon		3		ポケモン	Greninja pokemon,greninja	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ニャオハ	にゃおは	Sprigatito pokemon	sprigatito	3	# 落とした: 生成テスト 60³(2026-09-21): 猫と紛らわしい
# ホゲータ	ほげーた	Fuecoco pokemon		3		ポケモン	Fuecoco pokemon,fuecoco	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# クワッス	くわっす	Quaxly pokemon	quaxly	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# デデンネ	ででんね	Dedenne pokemon		3		ポケモン	Dedenne pokemon,dedenne	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# モクロー	もくろー	Rowlet pokemon		3		ポケモン	Rowlet pokemon,rowlet	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ヒバニー	ひばにー	Scorbunny pokemon		3		ポケモン	Scorbunny pokemon,scorbunny	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# サルノリ	さるのり	Grookey pokemon		3		ポケモン	Grookey pokemon,grookey	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# メッソン	めっそん	Sobble pokemon		3		ポケモン	Sobble pokemon,sobble	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ウッウ	うっう	Cramorant pokemon	cramorant	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ワンパチ	わんぱち	Yamper pokemon		3		ポケモン	Yamper pokemon,yamper	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# モルペコ	もるぺこ	Morpeko pokemon		3		ポケモン	Morpeko pokemon,morpeko	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# チコリータ	ちこりーた	Chikorita pokemon		3		ポケモン	Chikorita pokemon,chikorita	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ヒノアラシ	ひのあらし	Cyndaquil pokemon		3		ポケモン	Cyndaquil pokemon,cyndaquil	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ワニノコ	わにのこ	Totodile pokemon		3		ポケモン	Totodile pokemon,totodile	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# トゲピー	とげぴー	Togepi pokemon		3		ポケモン	Togepi pokemon,togepi	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# マリル	まりる	Marill pokemon	marill	3	# 落とした: 生成テスト 60³(2026-09-21): 絵がネズミ
# ソーナンス	そーなんす	Wobbuffet pokemon		3		ポケモン	Wobbuffet pokemon,wobbuffet	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ヨッシーのたまご	よっしーのたまご	Yoshi egg green spotted	ヨッシーの卵	3		マリオ	yoshi egg	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
スーパーキノコ	すーぱーきのこ	Super Mushroom from Mario, red with white spots	マリオのキノコ,1UPキノコ	2		マリオ	super mushroom,1up
# ファイアフラワー	ふぁいあふらわー	Fire Flower from Mario	fire flower	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# スーパースター	すーぱーすたー	Super Star from Mario, yellow star with eyes	super star,スター	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ハテナブロック	はてなぶろっく	question mark block from Mario	question block,? block	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ヘイホー	へいほー	Shy Guy from Mario		3		マリオ	shy guy	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ジュゲム	じゅげむ	Lakitu on a cloud from Mario	lakitu	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
キラー	きらー	Bullet Bill from Mario	弾丸,だんがん	3		マリオ	bullet bill
# ドッスン	どっすん	Thwomp from Mario	thwomp	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# チョロプー	ちょろぷー	Monty Mole from Mario	モグラ,もぐら	3		マリオ	monty mole	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ワンワン	わんわん	Chain Chomp from Mario		3		マリオ	chain chomp	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# マリオのカート	まりおのかーと	Mario Kart go-kart with Mario	mario kart	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# デイジー	でいじー	Princess Daisy	デイジー姫	3		マリオ	Princess Daisy,daisy	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ロゼッタ	ろぜった	Rosalina from Mario		3		マリオ	rosalina	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# キャッピー	きゃっぴー	Cappy the hat from Mario Odyssey	cappy	3	# 落とした: 生成テスト 60³(2026-09-21): 絵がマリオ
リンク	りんく	Link from The Legend of Zelda, green tunic	ゼルダ,ぜるだ	2		任天堂のキャラ	link
# ゼルダ姫	ぜるだひめ	Princess Zelda	zelda	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ガノン	がのん	Ganondorf	ガノンドロフ	3		任天堂のキャラ	Ganondorf,ganon	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# コログ	ころぐ	Korok from Zelda	korok	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# チンクル	ちんくる	Tingle from Zelda		3		任天堂のキャラ	tingle	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ボコブリン	ぼこぶりん	Bokoblin from Zelda		3		任天堂のキャラ	bokoblin	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# デデデ大王	でででだいおう	King Dedede from Kirby	デデデ	2		任天堂のキャラ	king dedede,dedede	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# メタナイト	めたないと	Meta Knight from Kirby		3		任天堂のキャラ	meta knight	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ワドルディ	わどるでぃ	Waddle Dee from Kirby		3		任天堂のキャラ	waddle dee	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# フォックス	ふぉっくす	Fox McCloud from Star Fox		3		任天堂のキャラ	fox mccloud,star fox	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# サムス	さむす	Samus Aran in power suit		3		任天堂のキャラ	samus,samus aran	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
ピクミン	ぴくみん	red Pikmin	赤ピクミン	2		任天堂のキャラ	pikmin
# オリマー	おりまー	Captain Olimar from Pikmin	olimar	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# むらびと	むらびと	Villager from Animal Crossing	村人	3		任天堂のキャラ	villager	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# たぬきち	たぬきち	Tom Nook from Animal Crossing	タヌキ,たぬき	3		任天堂のキャラ	tom nook	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# しずえ	しずえ	Isabelle from Animal Crossing	しずえさん	3		任天堂のキャラ	isabelle	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# とたけけ	とたけけ	K.K. Slider from Animal Crossing	けけ	3		任天堂のキャラ	kk slider,k.k. slider	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# スプラトゥーンのイカ	すぷらとぅーんのいか	Inkling squid from Splatoon	inkling,splatoon,スプラトゥーン	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# アメコミヒーロー	あめこみひーろー	superhero in red and blue costume	superhero	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ソニックのテイルス	そにっくのているす	Tails from Sonic	テイルス	3		ゲームのキャラ	tails	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ナックルズ	なっくるず	Knuckles from Sonic		3		ゲームのキャラ	knuckles	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# エッグマン	えっぐまん	Dr Eggman from Sonic	ドクターエッグマン	3		ゲームのキャラ	eggman,dr eggman,robotnik	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
パックマン	ぱっくまん	Pac-Man		1		ゲームのキャラ	Pac-Man,pacman,pac man
パックマンのゴースト	ぱっくまんのごーすと	Blinky ghost from Pac-Man	ブリンキー,パックマンのおばけ	3		ゲームのキャラ	blinky,pac-man ghost
スペースインベーダー	すぺーすいんべーだー	Space Invaders alien	インベーダー,いんべーだー	3		ゲームのキャラ	Space Invaders alien,space invader,space invaders,invader
# テトリス	てとりす	Tetris blocks	tetris,テトリミノ	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ぷよぷよ	ぷよぷよ	Puyo from Puyo Puyo	puyo	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# スライムのドラクエ	すらいむのどらくえ	Dragon Quest Slime, blue teardrop	dragon quest slime,ドラクエのスライム	1	# 落とした: 生成テスト 60³(2026-09-21): 絵がドラゴン
# チョコボ	ちょこぼ	Chocobo from Final Fantasy	chocobo	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# モーグリ	もーぐり	Moogle from Final Fantasy		3		ゲームのキャラ	moogle,FF	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ケロちゃん	けろちゃん	Kero from Cardcaptor Sakura	ケルベロス	3		日本のアニメ	kero,keroberos	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
ルフィ	るふぃ	Monkey D Luffy from One Piece	モンキーDルフィ,むぎわら	2		日本のアニメ	luffy,monkey d luffy
チョッパー	ちょっぱー	Tony Tony Chopper from One Piece		2		日本のアニメ	chopper,tony tony chopper
ナルト	なると	Naruto Uzumaki	うずまきナルト	2		日本のアニメ	Naruto Uzumaki,naruto
悟空	ごくう	Son Goku from Dragon Ball	孫悟空,そんごくう,ゴクウ,サイヤ人	2		日本のアニメ	goku,son goku
# ピッコロ	ぴっころ	Piccolo from Dragon Ball		3		日本のアニメ	piccolo	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# フリーザ	ふりーざ	Frieza from Dragon Ball		3		日本のアニメ	frieza,freeza	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ドラゴンボール	どらごんぼーる	orange Dragon Ball with four stars	dragon ball	2	# 落とした: 生成テスト 60³(2026-09-21): 絵がドラゴン
セーラームーン	せーらーむーん	Sailor Moon	月野うさぎ	2		日本のアニメ	Sailor Moon
コナン	こなん	Detective Conan	名探偵コナン,江戸川コナン	2		日本のアニメ	Detective Conan,conan
のび太	のびた	Nobita from Doraemon	野比のび太	2		ドラえもん	nobita
ジャイアン	じゃいあん	Gian from Doraemon	剛田武	3		ドラえもん	gian,giant
スネ夫	すねお	Suneo from Doraemon		3		ドラえもん	suneo
しずかちゃん	しずかちゃん	Shizuka from Doraemon	しずか,源静香	3		ドラえもん	shizuka
サザエさん	さざえさん	Sazae-san	サザエ,さざえ	3		日本のアニメ	Sazae-san,sazae,sazae san
# タラちゃん	たらちゃん	Tara-chan from Sazae-san	タラオ,たらお	3		日本のアニメ	tara chan,tara	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
となりのトトロの猫バス	となりのととろのねこばす	Catbus from My Neighbor Totoro	ねこバス,猫バス,ネコバス	2		ジブリ	catbus,cat bus
# まっくろくろすけ	まっくろくろすけ	soot sprite from Totoro	susuwatari,soot sprite	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ジジ	じじ	Jiji the black cat from Kiki's Delivery Service	jiji	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
カオナシ	かおなし	No-Face from Spirited Away		2		ジブリ	no-face,no face,kaonashi
ポニョ	ぽにょ	Ponyo	崖の上のポニョ	2		ジブリ	Ponyo
# ハウルの城	はうるのしろ	Howl's Moving Castle	howls moving castle	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ロボット兵	ろぼっとへい	robot soldier from Castle in the Sky	ラピュタのロボット	3		ジブリ	robot soldier,laputa robot	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ニャンコ先生	にゃんこせんせい	Nyanko-sensei from Natsume		3		日本のアニメ	nyanko sensei	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
たまごっち	たまごっち	Tamagotchi egg shaped toy		2		おもちゃ	tamagotchi
# ファービー	ふぁーびー	Furby toy		3		おもちゃ	furby	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# トロールドール	とろーるどーる	Troll doll with colorful hair	トロール,人形,にんぎょう	3		ぬいぐるみ・おもちゃ	troll doll	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ポケモンのピカチュウのぬいぐるみ	ぴかちゅうのぬいぐるみ	Pikachu plush toy	pikachu plush	3		ポケモン		# まとめた: ピカチュウ と同じ物（spec 12 の 2-5）
# アナ	あな	Anna from Frozen	エルサ	3		ディズニー	anna	# 2026-09-21 ディズニーは消す（本人）
# エルサ	えるさ	Elsa from Frozen	elsa	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# アリエル	ありえる	Ariel the Little Mermaid	ariel	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# シンデレラ	しんでれら	Cinderella	cinderella	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 白雪姫	しらゆきひめ	Snow White	姫,ひめ,お姫様,おひめさま	2		ディズニー	snow white	# 2026-09-21 ディズニーは消す（本人）
# 七人の小人	しちにんのこびと	dwarf from Snow White with red hat		3		ディズニー	seven dwarfs	# 2026-09-21 ディズニーは消す（本人）
# ラプンツェル	らぷんつぇる	Rapunzel with long hair	rapunzel	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# アラジン	あらじん	Aladdin		3		ディズニー	Aladdin	# 2026-09-21 ディズニーは消す（本人）
# ジーニー	じーにー	Genie from Aladdin	ランプの魔人,魔人,まじん	2		ディズニー	genie	# 2026-09-21 ディズニーは消す（本人）
# シンバ	しんば	Simba lion cub	ライオン,らいおん	2		ディズニー	Simba lion cub,simba	# 2026-09-21 ディズニーは消す（本人）
# ティモン	てぃもん	Timon the meerkat		3		ディズニー	timon	# 2026-09-21 ディズニーは消す（本人）
# プンバァ	ぷんばぁ	Pumbaa the warthog	プンバ,イボイノシシ	3		ディズニー	pumbaa	# 2026-09-21 ディズニーは消す（本人）
# ダンボ	だんぼ	Dumbo the elephant		2		ディズニー	dumbo	# 2026-09-21 ディズニーは消す（本人）
# バンビ	ばんび	Bambi the fawn	子鹿	2		ディズニー	bambi	# 2026-09-21 ディズニーは消す（本人）
# チップとデール	ちっぷとでーる	Chip and Dale chipmunk	チップ,デール,リス,りす,シマリス	3		ディズニー	chip and dale,chipmunk,dale	# 2026-09-21 ディズニーは消す（本人）
# プーさんのティガー	ぷーさんのてぃがー	Tigger from Winnie the Pooh	ティガー	2		ディズニー	tigger	# 2026-09-21 ディズニーは消す（本人）
# イーヨー	いーよー	Eeyore the donkey	eeyore	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ピグレット	ぴぐれっと	Piglet from Winnie the Pooh		3		ディズニー	piglet	# 2026-09-21 ディズニーは消す（本人）
# ミスターインクレディブル	みすたーいんくれでぃぶる	Mr Incredible	インクレディブル,Mrインクレディブル	3		ピクサー	Mr Incredible,incredibles	# 2026-09-21 ディズニー（ピクサー）は消す（本人）
# レミー	れみー	Remy the rat from Ratatouille	ネズミ,ねずみ,レミーのおいしいレストラン	3		ピクサー	remy	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# カールじいさんの家	かーるじいさんのいえ	house with balloons from Up	カールじいさん,風船の家,家,いえ	3		ピクサー	up house,house with balloons	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ライトニングマックイーンのメーター	めーたー	Mater the tow truck from Cars	mater	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# モアナ	もあな	Moana		3		ディズニー	Moana	# 2026-09-21 ディズニーは消す（本人）
# マウイ	まうい	Maui from Moana		3		ディズニー	maui	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# スカー	すかー	Scar the lion	scar	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# クルエラ	くるえら	Cruella de Vil	101匹わんちゃん	3		ディズニー	Cruella de Vil,cruella	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# マレフィセント	まれふぃせんと	Maleficent	maleficent	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ジャックスパロウ	じゃっくすぱろう	Captain Jack Sparrow		3		ディズニー	Captain Jack Sparrow,jack sparrow	# 2026-09-21 ディズニーは消す（本人）
# ジャックスケリントン	じゃっくすけりんとん	Jack Skellington	jack skellington	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# グリンチ	ぐりんち	The Grinch		2		海外のアニメ映画	grinch	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# シュレックのドンキー	どんきー	Donkey from Shrek	ドンキー,しゅれっくのどんきー,ロバ,ろば,シュレック	3		海外のアニメ映画	donkey	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# シュレックの長ぐつをはいた猫	ながぐつをはいたねこ	Puss in Boots from Shrek	しゅれっくのながぐつをはいたねこ,長靴をはいた猫,猫,ねこ,シュレック	3		海外のアニメ映画	puss in boots	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# マダガスカルのペンギン	まだがすかるのぺんぎん	penguin from Madagascar	madagascar penguin	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
カンフーパンダ	かんふーぱんだ	Po from Kung Fu Panda	ポー	2		海外のアニメ映画	kung fu panda,po
# ヒックとドラゴンのトゥース	とぅーす	Toothless the dragon	toothless	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# アイスエイジのスクラット	すくらっと	Scrat the squirrel from Ice Age	あいすえいじのすくらっと,スクラット,リス,りす,アイスエイジ	3		海外のアニメ映画	scrat	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ミニオンのボブ	みにおんのぼぶ	Bob the Minion with teddy bear	ボブ,ミニオン,みにおん	3		海外のアニメ映画	bob,minion	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# グルー	ぐるー	Gru from Despicable Me	怪盗グルー,ミニオン	3		海外のアニメ映画	gru	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ソニックのシャドウ	しゃどう	Shadow the Hedgehog	shadow	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ピーターパン	ぴーたーぱん	Peter Pan		3		ディズニー	Peter Pan,peterpan	# 2026-09-21 ディズニーは消す（本人）
# ティンカーベル	てぃんかーべる	Tinker Bell fairy	ティンク	3		ディズニー	Tinker Bell fairy,tinker bell,tinkerbell	# 2026-09-21 ディズニーは消す（本人）
# フック船長	ふっくせんちょう	Captain Hook	フック	3		ディズニー	Captain Hook,hook	# 2026-09-21 ディズニーは消す（本人）
# ロビンフッド	ろびんふっど	Robin Hood		3		ディズニー	Robin Hood	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
ハリーポッター	はりーぽったー	Harry Potter with wand and glasses	ハリー	2		映画のキャラ	harry potter,harry
# ハーマイオニー	はーまいおにー	Hermione Granger		3		映画のキャラ	Hermione Granger,hermione	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ダンブルドア	だんぶるどあ	Dumbledore wizard		3		映画のキャラ	Dumbledore wizard,dumbledore	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ドビー	どびー	Dobby the house elf		3		映画のキャラ	dobby	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ヘドウィグ	へどうぃぐ	Hedwig the snowy owl		3		映画のキャラ	hedwig	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ホグワーツ	ほぐわーつ	Hogwarts castle	ハリーポッターの城,魔法学校	3		映画のキャラ	Hogwarts castle,hogwarts	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ガンダルフ	がんだるふ	Gandalf the wizard		3		映画のキャラ	gandalf	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ゴラム	ごらむ	Gollum	スメアゴル	3		映画のキャラ	Gollum	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# ホビット	ほびっと	Hobbit with hairy feet	フロド,ロードオブザリング	3		映画のキャラ	hobbit,frodo	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
E.T.	いーてぃー	E.T. the extra terrestrial	イーティー	2		映画のキャラ	e.t.,et
ターミネーター	たーみねーたー	Terminator robot skeleton		3		映画のキャラ	Terminator robot skeleton,terminator,T-800
# ロボコップ	ろぼこっぷ	RoboCop		3		映画のキャラ	RoboCop	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# プレデター	ぷれでたー	Predator alien hunter		3		映画のキャラ	Predator alien hunter,predator	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ゴーストバスターズのマシュマロマン	ましゅまろまん	Stay Puft Marshmallow Man	ごーすとばすたーずのましゅまろまん,マシュマロマン,ゴーストバスターズ	3		映画のキャラ	marshmallow man,stay puft	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# ジョーズ	じょーず	Jaws great white shark	jaws	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ドラキュラ伯爵	どらきゅらはくしゃく	Count Dracula	count dracula	3	# 落とした: 生成テスト 60³(2026-09-21): マントだけ
# モスラ	もすら	Mothra giant moth	mothra	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# キングギドラ	きんぐぎどら	King Ghidorah three headed dragon	ギドラ,ゴジラ	3		特撮ヒーロー・怪獣	king ghidorah,ghidorah	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ガメラ	がめら	Gamera giant turtle		3		特撮ヒーロー・怪獣	Gamera giant turtle,gamera	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# ウルトラマンのバルタン星人	ばるたんせいじん	Alien Baltan	うるとらまんのばるたんせいじん,バルタン星人,バルタン	3		特撮ヒーロー・怪獣	Alien Baltan,baltan	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
仮面ライダー	かめんらいだー	Kamen Rider	ライダー	2		特撮ヒーロー・怪獣	Kamen Rider,masked rider
戦隊ヒーロー	せんたいひーろー	Super Sentai red ranger	パワーレンジャー,ゴレンジャー,戦隊,レッド	3		特撮ヒーロー・怪獣	power ranger,super sentai,sentai
# マジンガーZ	まじんがーぜっと	Mazinger Z robot	マジンガー	3		SF・アニメの機体	Mazinger Z robot,mazinger z,mazinger	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
エヴァンゲリオン	えばんげりおん	Evangelion Unit 01	エヴァ,えゔぁ,初号機,しょごうき	2		SF・アニメの機体	Evangelion Unit 01,evangelion,eva
# ザク	ざく	Zaku mobile suit from Gundam		3		SF・アニメの機体	zaku	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
アトム	あとむ	Astro Boy	鉄腕アトム	2		日本のアニメ	Astro Boy,atom
# 鉄人28号	てつじんにじゅうはちごう	Tetsujin 28 robot	鉄人	3		日本のアニメ	Tetsujin 28 robot,tetsujin 28,tetsujin	# 2026-09-21 固有名詞すぎる（本人「七人の小人とか絶対分からん」）
# 妖怪人間ベム	ようかいにんげんべむ	Bem the yokai human	ベム	3		日本のアニメ	bem	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
鬼太郎	きたろう	Kitaro from GeGeGe no Kitaro	ゲゲゲの鬼太郎,げげげのきたろう	2		アニメ・ゲームの主役	kitaro
目玉おやじ	めだまおやじ	Medama Oyaji eyeball father	目玉,めだま	3		ゲゲゲの鬼太郎	medama oyaji
ねずみ男	ねずみおとこ	Nezumi Otoko rat man	ネズミ男	3		ゲゲゲの鬼太郎	nezumi otoko,rat man
# ぬりかべ	ぬりかべ	Nurikabe wall yokai	nurikabe	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# 一反木綿	いったんもめん	Ittan momen flying cloth yokai	ittan momen	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
砂かけばばあ	すなかけばばあ	Sunakake Baba yokai	砂かけ	3		ゲゲゲの鬼太郎	Sunakake Baba yokai,sunakake baba
こなきじじい	こなきじじい	Konaki Jijii yokai	子泣き爺	3		ゲゲゲの鬼太郎	Konaki Jijii yokai,konaki jijii
# ドラえもんのタケコプター	たけこぷたー	takecopter bamboo copter	takecopter	3	# 落とした: 生成テスト 60³(2026-09-21): 絵がヘリ
どこでもドア	どこでもどあ	Anywhere Door pink door from Doraemon	ピンクのドア,ドラえもんのドア	2		ドラえもん	anywhere door,dokodemo door
# タイムマシン	たいむましん	Doraemon time machine	time machine	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# アンパンマンのバイキンUFO	ばいきんゆーふぉー	Baikin UFO from Anpanman	あんぱんまんのばいきんゆーふぉー,バイキンUFO	3		アンパンマン	baikin ufo	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
ジャムおじさん	じゃむおじさん	Uncle Jam from Anpanman		3		アンパンマン	uncle jam
バタコさん	ばたこさん	Batako from Anpanman	バタコ	3		アンパンマン	batako
メロンパンナ	めろんぱんな	Melonpanna from Anpanman	メロンパンナちゃん	3		アンパンマン	melonpanna
# ロールパンナ	ろーるぱんな	Rollpanna from Anpanman		3		アンパンマン	rollpanna	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
# だだんだん	だだんだん	Dadandan robot from Anpanman		3		アンパンマン	dadandan	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
はらぺこあおむし	はらぺこあおむし	The Very Hungry Caterpillar	あおむし,青虫,イモムシ,いもむし	2		絵本・海外のキャラ	hungry caterpillar,very hungry caterpillar,caterpillar
# ぐりとぐら	ぐりとぐら	Guri and Gura mice	guri gura	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
ノンタン	のんたん	Nontan white cat		3		絵本・海外のキャラ	nontan
# バムとケロ	ばむとけろ	Bam and Kero	bam kero	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# 11ぴきのねこ	じゅういっぴきのねこ	eleven cats from picture book	11 cats	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が複数
# だるまちゃん	だるまちゃん	Daruma-chan		3		絵本・海外のキャラ	Daruma-chan,daruma chan	# 2026-09-21 誰でも知っているものだけにする（本人「全然わからんキャラ入れるのやめて」）
